model,label,delta,entropy,special_ratio,regex_score
nvidia/nv-embedqa-e5-v5,obfuscation,0.3246748789877812,2.125635852660036,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.31953810969776486,2.1546469225399245,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.3222018856273346,2.1442947451177905,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.7060140915718418,4.188088311075675,0.021739130434782608,0.0
nvidia/nv-embedqa-e5-v5,obfuscation,0.6564672132201207,4.8671799855344275,0.11458333333333333,0.75
nvidia/nv-embedqa-e5-v5,obfuscation,0.32462003203806156,2.131874468758518,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.32782363006600007,2.1382252229419088,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.32278066594025334,2.1275918135122653,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.34484229108562375,3.021727556101252,0.6610169491525424,0.0
nvidia/nv-embedqa-e5-v5,obfuscation,0.3368209403566364,2.12498444437415,0.20600858369098712,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.32829783505314125,2.1485774003640428,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.5693761621458117,2.9946375353553565,0.76,0.0
nvidia/nv-embedqa-e5-v5,obfuscation,0.3213909461262213,2.1254654471911425,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.3232698464306509,2.131874468758518,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.32456466042348037,2.1185082323426063,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.7581243837266115,4.4730616769639555,0.03940886699507389,0.0
nvidia/nv-embedqa-e5-v5,obfuscation,0.3224731134903246,2.1382252229419088,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.3470286619613247,3.0030376854030276,0.7563025210084033,0.0
nvidia/nv-embedqa-e5-v5,obfuscation,0.6369562559304418,4.580154371667566,0.05303030303030303,0.75
nvidia/nv-embedqa-e5-v5,obfuscation,0.3209910715039459,2.831873009499189,0.6323529411764706,0.0
nvidia/nv-embedqa-e5-v5,obfuscation,0.32536130251249606,2.1336613356881466,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.33044064605184825,2.118227000335097,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.5496454303669476,3.147326736772171,0.6527777777777778,0.0
nvidia/nv-embedqa-e5-v5,obfuscation,0.3134819397981761,2.124577754518488,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.31805277142085014,2.1379439909343994,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.313165990891204,2.139212587186875,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,2.1211827919448902,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,2.134929931940622,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,2.118227000335097,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,2.1485774003640428,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,2.1485774003640428,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,4.448950741577338,0.022508038585209004,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,2.4292292966721747,0.5,0.0
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,2.128860409764741,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,4.396834257822941,0.020833333333333332,0.0
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,2.492614068017126,0.5714285714285714,0.0
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,4.723555682440314,0.07526881720430108,0.0
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,2.1589295777861772,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,2.6519334543411714,0.9342105263157895,0.0
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,1.0,1.0,0.0
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,2.128860409764741,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,2.8474415474454515,0.7702702702702703,0.0
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,2.139212587186875,0.20770877944325483,0.25
nvidia/nv-embedqa-e5-v5,obfuscation,0.0,3.159708070359639,0.513953488372093,0.0
